A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
SLC16A12,387700,Q6ZSM3,,,,7.800128375,7.356990346,,
SLC16A10,117247,Q8TF71,,,,,-2.007798958,,
SLC13A5,284111,Q86YT5,,,,-4.317471221,,,
SLC10A6,345274,Q3KNW5,,,1.163366239,,,,
SLBP,7884,Q14493,,,1.106707898,,,,
SLAMF7,57823,Q9NQ25,,1.171972565,,,,,
SKA3,221150,Q8IX90,,,1.523712951,,,,
SKA2,348235,Q8WVK7,,,1.428688046,,,,
SIRT2,22933,Q8IXJ6,,,1.643920944,,,,
SIRPA,140885,P78324,,,1.165752938,,,,
SIMC1,375484,Q8NDZ2,,,1.499881514,,,,
SIMALR,105378020,,,,,4.053662304,7.64752147,,
SIM2,6493,Q14190,,,1.457969057,,,,
SIGLEC8,27181,Q9NYZ4,,,1.249233836,,,,
SIGLEC1,6614,Q9BZZ2,,2.605906967,,3.100289914,4.86516456,,
SIGIRR,59307,Q6IA17,,,,,-2.229678441,,
SIDT1,54847,Q9NXL6,,,,2.062571092,,,
SHISA4,149345,Q96DD7,,,1.940671799,,,,
SHC3,53358,Q92529,,,1.614872477,,,,
SHANK3,85358,,,,1.38850419,,,,
SH3GL1,6455,Q99961,,,2.105077708,,,,
SH2D3C,10044,Q8N5H7,,,1.097480872,,,,
SH2D1B,117157,O14796,,,,5.521621794,5.713500707,,
SGPP2,130367,Q8IWX5,,,,,2.584833185,,
SGIP1,84251,Q9BQI5,,,,6.243304299,6.488245741,,
SFXN2,118980,Q96NB2,,,,,-2.66473814,DENV2 16681 NS4A,0.7750246880766312
SFTPC,6440,P11686,,,1.329811074,,,,
SFT2D3,84826,Q587I9,,,2.255091343,,,"ZIKVfp NS4A,ZIKVug NS4A","0.919758683,0.911875807"
SFT2D2,375035,O95562,,,1.110175408,,,,
SFMBT1,51460,Q9UHJ3,,,1.395175285,,,,
SETD7,80854,Q8WTS6,,,1.095402015,,,,
SERTAD2,9792,Q14140,,,,,-3.095841914,,
SERPINH1,871,P50454,,1.071614534,,,,,
SERPING1,710,P05155,,,1.996975127,3.883687105,4.566919268,,
SERPINB9P1,221756,,,,,2.279284295,2.169188484,,
SERPINB9,5272,P50453,,,,,2.308581029,,
SERPINB10,5273,P48595,,,,,6.206161192,,
SERPINA11,256394,Q86U17,,,1.482477688,,,,
SERINC2,347735,Q96SA4,,,,,-2.442486428,,
SEPTIN6,23157,Q14141,,,1.275196678,,,,
SEPTIN5,5413,Q99719,,,1.159873695,,-4.177445718,,
SEPSECS,51091,Q9HD40,,,1.911336132,,,,
SEMG1,6406,P04279,,,,,-2.19460735,,
SEMA4D,10507,Q92854,,,,,2.186708331,,
SEMA4A,64218,Q9H3S1,,,,,2.226449364,,
SEMA3F-AS1,100129060,,,,,-2.167094811,,,
SEMA3F,6405,Q13275,,,1.53459852,,,,
SEMA3D,223117,O95025,,,,4.448537723,7.837903065,,
SEMA3A,10371,Q14563,,,,,2.38694679,,
SELP,6403,P16109,,,1.399738844,,,,
SELL,6402,P14151,,,1.679954597,2.117799781,3.531265975,,
SELENON,57190,Q9NZV5,,,,,-2.228475474,,
SECTM1,6398,Q8WVN6,,,,3.853388104,4.387917821,,
SEC24B,10427,O95487,,,1.126247238,,,,
SEC22C,9117,Q9BRL7,,,1.455542249,,,,
SDR9C7,121214,Q8NEX9,,,1.531087211,,,,
SDK1,221935,Q7Z5N4,,,,,-2.394525103,,
SDC2,6383,P34741,,,,,-2.09743789,,
SDC1,6382,P18827,,,,,-2.3182993,,
