A - HGNC,B - Gene ID,C - UniProtID,D - Protein abundance 24 hours after infection vs mock control,E - Protein abundance 48 hours after infection vs mock control,"F - siRNA Screen Average Zscore (the higher the score, the stronger the negative effect on viral replication)",G - mRNA expression 24 hours after infection (log2FC_24hpi),H - mRNA expression 48 hours after infection (log2FC_48hpi),I - Dengue viral protein interacting with host protein,J - dengue_MiST_list
BAMBI,25805,Q13145,,,,2.401914434,,,
BAIAP2-DT,440465,,,,,,-3.439477616,,
BAD,572,Q92934,,,1.627064373,,,,
BACE1,23621,P56817,,,1.676108684,,,,
BABAM2,9577,Q9NXR7,,,1.28188342,,,,
BAALC-AS2,157556,,,,,,2.6966314,,
BAALC-AS1,100499183,,,,,,3.719516574,,
BAALC,79870,Q8WXS3,,,,,2.890563291,,
B4GALT2,8704,O60909,,,,,-2.781025028,,
AZIN2,113451,Q96A70,,,,2.1047271,2.53622716,,
AZGP1,563,P25311,,,1.170849738,,,,
AXL,558,P30530,,,,2.595528776,3.105497759,,
AVPI1,60370,Q5T686,,,1.659858407,,,,
AUTS2,26053,Q8WXX7,,,1.313546644,,,,
AURKAIP1,54998,Q9NWT8,,,,,-2.282828926,,
ATRX,546,P46100,,,1.280628723,,,,
ATRNL1,26033,Q5VV63,,,1.537668835,,,,
ATP9A,10079,O75110,,,,,-3.373656069,,
ATP6V1D,51382,Q9Y5K8,,,1.223337992,,,,
ATP6V0E2,155066,Q8NHE4,,,,,-2.300612276,,
ATP6V0D2,245972,Q8N8Y2,,,,,-2.185036588,,
ATP2C1,27032,P98194,,,1.648952017,,,,
ATP10A,57194,O60312,,,,2.00332427,2.050217097,,
ATOX1,475,O00244,,,1.455336978,,,,
ATOH1,474,Q92858,,,1.113533245,,,,
ATG7,10533,O95352,,-1.628836661,,,,,
ATG16L2,89849,Q8NAA4,,,1.199484017,,,,
ATF6,22926,P18850,,,1.403598264,,,,
ASTN2,23245,O75129,,,,,-2.022123159,,
ASTN1,460,O14525,,,2.065575242,,,,
ASTL,431705,Q6HA08,,,1.623197529,,,,
ASS1,445,P00966,,,1.650535295,,,,
ASH1L-AS1,645676,,,,,,2.928687025,,
ASB6,140459,Q9NWX5,,,1.34706529,,,,
ASB16,92591,Q96NS5,,,2.368093529,,,,
ASAH2B,653308,P0C7U1,,,,3.435661913,4.841829419,,
ASAH2,56624,Q9NR71,,,,3.6152262,2.41919267,,
ARPC4,10093,P59998,,,1.251956847,,,,
ARMCX1,51309,Q9P291,,,1.391336473,,,,
ARL6IP4,51329,Q66PJ3,,,1.47408154,,,,
ARL4D,379,P49703,,,1.171410588,,,,
ARL4C,10123,P56559,,,2.106404899,3.734929534,,,
ARL16,339231,Q0P5N6,,,1.703320572,,,,
ARL13A,392509,Q5H913,,,1.261600402,,,,
ARIH2,10425,O95376,,,1.530659792,,,,
ARHGEF38,54848,Q9NXL2,,,,,2.576734595,,
ARHGEF17,9828,Q96PE2,,,,,-2.068308299,,
ARHGEF11,9826,O15085,,,1.773207142,,,,
ARHGEF1,9138,Q92888,,,1.446617101,,,,
ARHGDIB,397,P52566,,,,,-2.099431708,,
ARHGAP44,9912,Q17R89,,,1.34449421,,,,
ARHGAP35,2909,Q9NRY4,,,1.147381372,,,,
ARHGAP26,23092,Q9UNA1,,,1.203776159,,,,
ARFGEF3,57221,Q5TH69,,,,,-2.696687869,,
AREL1,9870,O15033,,,1.129472356,,,,
ARC,23237,Q7LC44,,,2.052433823,,,,
APOL6,80830,Q9BWW8,,,,,3.236277341,,
APOL4,80832,Q9BPW4,,,,2.001256032,,,
APOL3,80833,O95236,,,,2.446070745,4.06881399,,
APOL1,8542,O14791,,,1.354420956,2.392470099,3.729262931,,
APOE,348,P02649,,,,,-2.567069606,,
APOC2,344,P02655,,,1.245704849,,-2.559420154,,
APOC1,341,P02654,,,,,-2.222580806,,
APOBEC3H,164668,Q6NTF7,,,,2.3947173,3.243053936,,
APOBEC3G,60489,Q9HC16,,,,2.811164471,2.923848397,,
APOBEC3F,200316,Q8IUX4,,,,2.370987214,2.227193397,,
APOBEC3D,140564,,,,,,2.664317872,,
APOBEC3B,9582,Q9UH17,,,,5.127093366,6.635819654,,
APOBEC3A,200315,P31941,,,,6.532211087,9.230324715,,
APMAP,57136,Q9HDC9,,,1.250037329,,,DENV2 16681 NS4B,0.6122690619884055
API5P1,642812,,,,,,2.709238975,,
APBA1,320,Q02410,,,,,-2.157627289,,
AP5Z1,9907,O43299,,,1.735427086,,,,
AP5S1,55317,Q9NUS5,,,,2.425584752,,,
AP3D1,8943,O14617,,,1.249460613,,,,
AP1M1,8907,Q9BXS5,,,1.255055788,,,,
ANXA3,306,P12429,,,1.313024009,,,,
ANXA11,311,P50995,,,1.727706644,,,,
ANXA10,11199,Q9UJ72,,,,3.002211733,2.981065246,,
ANXA1,301,P04083,,,1.782002792,,,,
ANKRD50,57182,Q9ULJ7,,,1.805581526,,,,
ANKRD37,353322,Q7Z713,,,1.248258833,,,,
ANKRD33B,651746,A6NCL7,,,,,2.534580849,,
ANKRD27,84079,Q96NW4,,,1.738449439,,,,
ANKRD22,118932,Q5VYY1,,,,3.231074516,5.722128875,,
ANKRD20A2P,441430,,,,1.097282449,,,,
ANKRD1,27063,Q15327,,,,,4.011624881,,
ANGPT4,51378,Q9Y264,,,,,-3.787907556,,
ANGEL2,90806,Q5VTE6,,,1.282725168,,,,
ANAPC15,25906,P60006,,,1.635136842,,,,
ANAPC13,25847,Q9BS18,,,1.096644882,,,,
AMPH,273,P49418,,,1.169981659,,,,
AMOTL2,51421,Q9Y2J4,,,,4.948503833,5.297037431,,
AMOT,154796,Q4VCS5,,,,,2.857708838,DENV2 16681 NS3,0.6771570391551944
AMIGO2,347902,Q86SJ2,,,1.912897024,,,,
AMIGO1,57463,Q86WK6,,,,,-2.169418483,,
AMER3,205147,Q8N944,,,1.136601483,,,,
AMER1,139285,Q5JTC6,,,,2.918630518,,,
AMDHD2,51005,Q9Y303,,,1.098825265,,-2.126803403,,
ALPK2,115701,Q86TB3,,,,,4.495268867,,
ALOX12,239,P18054,,,1.599616596,,,,
ALMS1P1,200420,,,,,3.592953062,5.239902892,,
ALKBH5,54890,Q6P6C2,,,1.626623794,,,,
ALKBH1,8846,Q13686,,,1.492033525,,,,
ALDOA,226,P04075,,,1.430417697,,,,
ALDH3A1,218,P30838,,,1.244342609,,,,
AKT1S1,84335,Q96B36,,,1.219485106,,,,
AKR7A2,8574,O43488,,,,,-2.206728235,,
AKAP7,9465,"['Q9P0M2', 'O43687']",,,,,2.240255264,,
AKAP5,9495,P24588,,,,-5.701438206,,,
AKAP14,158798,Q86UN6,,,1.241811652,,,,
AK1,203,P00568,,,,,-2.269515137,,
AIRE,326,O43918,,,1.132241505,,,,
AIM2,9447,O14862,,,,5.117270866,6.763267703,,
AHNAK2,113146,Q8IVF2,,,,,-2.0949593,,
AHNAK,79026,Q09666,,,,,-2.240781324,,
AGTR1,185,P30556,,,1.099961615,,,,
AGPAT5,55326,Q9NUQ2,,,1.190737289,,,"DENV2 16681 NS4A,ZIKVfp NS4A,ZIKVug NS4A","0.8289380913412289,0.790775484,0.767992675"
AGO1,26523,Q9UL18,,,,,-2.114362548,,
AGL,178,P35573,-1.062767157,,1.172582213,,,,
AGGF1,55109,Q8N302,,,1.618565095,,,,
AGAP7P,653268,,,,1.26038544,,,,
AFMID,125061,Q63HM1,,,1.101696798,,,,
AFF3,3899,P51826,,,,,-2.713919593,,
AFAP1L1,134265,Q8TED9,,,,,-3.117415357,,
AFAP1-AS1,84740,,,,,,3.158601833,,
AFAP1,60312,Q8N556,,,,,3.128913455,,
ADRB2,154,P07550,,,1.502924819,,,,
ADRA2B,151,P18089,,,,,-2.971230139,,
ADNP2,22850,Q6IQ32,,,1.276512822,,,,
ADGRG6,57211,Q86SQ4,,,,,-2.399402395,,
ADGRE1,2015,Q14246,,,,2.000805687,2.315003118,,
ADCY2,108,Q08462,,,1.142708628,,,,
ADCY1,107,Q08828,,,,,-2.173661195,,
ADAMTSL4-AS1,574406,,,,,,2.416073423,,
ADAMTSL3,57188,P82987,,,2.14426412,,,,
ADAMTS5,11096,Q9UNA0,,,,,6.062355889,,
ADAMTS2,9509,O95450,,,1.299252448,,,,
ADAMDEC1,27299,O15204,,,,,3.003627516,,
ADAM7,8756,Q9H2U9,,,1.403640738,,,,
ADAM32,203102,Q8TC27,,,1.171694949,,,,
ADAM19,8728,Q9H013,,,1.189382527,,2.403777693,,
ADAM11,4185,O75078,,,1.318672532,,,,
ACY1,95,Q03154,,,1.151887707,,-2.26738547,,
ACVR1C,130399,Q8NER5,,,1.147721916,,,,
ACTR5,79913,Q9H9F9,,,1.639720896,,,DENV2 16681 NS2A,0.6645738931205409
ACSS1,84532,Q9NUB1,,,1.994937339,,,,
ACOX2,8309,Q99424,,,,,-2.123477541,,
ACOT1,641371,Q86TX2,1.608293391,,,,,,
ACOD1,730249,A6NK06,,,,5.287531439,6.432191793,,
ACLY,47,P53396,,,1.139619113,,,,
ACACB,32,O00763,,,1.126953641,,,,
ABTB2,25841,Q8N961,,,,,2.789290698,,
ABT1,29777,Q9ULW3,,,,2.012044734,,"DENV2 16681 NS5,ZIKVfp Capsid,ZIKVug Capsid","0.715651455415647,0.690422778,0.687903036"
ABLIM3,22885,O94929,,,,,-4.255645793,,
ABHD16A,7920,O95870,,,1.770358953,,,,
ABHD12,26090,Q8N2K0,,,1.264630864,,,ZIKVfp NS4A,0.765868456
ABCG2,9429,Q9UNQ0,,,1.293657237,,,,
ABCD3,5825,P28288,,0.994369676,,,,DENV2 16681 NS4A,0.718064654604823
ABCC2,1244,Q92887,,,1.209934253,,,,
ABCB9,23457,Q9NP78,,,,,-2.021557622,,
ABCA2,20,Q9BZC7,,,,,-2.435632949,,
AAR2,25980,Q9Y312,,,1.493487854,,,,
AAGAB,79719,Q6PD74,,,1.644902939,,,,
A2M,2,P01023,,-2.371771761,,,,,
,1231,,,,1.495977128,,,,
,934,,,,1.179855868,,,,
,348738,,,,1.669792259,,,,
,222521,,,,1.379272465,,,,
,375347,,,,1.813244398,,,,
,338809,,,,1.129611365,,,,
,441956,,,,1.722569978,,,,
,641522,,,,1.342250663,,,,
,100129885,,,,1.684708216,,,,
,45338,,,,,-5.887024392,5.202878223,,
,45338,,,,,-5.887024392,5.169160173,,
,45338,,,,,-5.887024392,3.07455597,,
,45338,,,,,-5.887024392,2.817277145,,
,45338,,,,,-5.887024392,2.188067157,,
,45338,,,,,-2.73425636,5.202878223,,
,45338,,,,,-2.73425636,5.169160173,,
,45338,,,,,-2.73425636,3.07455597,,
,45338,,,,,-2.73425636,2.817277145,,
,45338,,,,,-2.73425636,2.188067157,,
,45338,,,,,4.086980456,5.202878223,,
,45338,,,,,4.086980456,5.169160173,,
,45338,,,,,4.086980456,3.07455597,,
,45338,,,,,4.086980456,2.817277145,,
,45338,,,,,4.086980456,2.188067157,,
,45338,,,,,2.314897782,5.202878223,,
,45338,,,,,2.314897782,5.169160173,,
,45338,,,,,2.314897782,3.07455597,,
,45338,,,,,2.314897782,2.817277145,,
,45338,,,,,2.314897782,2.188067157,,
